Designator,Mid X,Mid Y,Rotation,Layer
C1,110.25,-121.25,0.0,top
C10,122.75,-101.5,180.0,top
C11,118.75,-112.75,90.0,top
C12,132.75,-134.0,180.0,top
C13,132.25,-137.25,90.0,top
C14,111.0,-112.5,270.0,top
C15,109.0,-112.5,270.0,top
C16,107.0,-112.5,270.0,top
C17,105.0,-124.5,0.0,top
C18,105.0,-126.5,0.0,top
C19,105.0,-128.5,0.0,top
C2,109.0,-116.75,270.0,top
C20,105.0,-130.5,0.0,top
C21,105.0,-132.5,0.0,top
C22,105.0,-122.5,0.0,top
C23,105.0,-120.5,0.0,top
C24,105.0,-118.5,0.0,top
C25,105.0,-116.5,0.0,top
C26,102.5,-131.0,90.0,top
C3,109.0,-125.0,270.0,top
C4,110.25,-129.5,0.0,top
C5,109.0,-133.25,270.0,top
C6,110.25,-137.75,0.0,top
C7,120.75,-113.0,270.0,top
C8,125.75,-110.0,0.0,top
C9,113.0,-111.25,90.0,top
D1,111.0,-117.5,90.0,top
D10,108.25,-109.25,180.0,top
D2,111.0,-125.75,90.0,top
D3,111.0,-134.0,90.0,top
D4,123.0,-112.75,90.0,top
D5,129.0,-138.0,0.0,top
D6,101.75,-109.25,0.0,top
D7,101.75,-107.25,0.0,top
D8,107.25,-101.75,270.0,top
D9,109.25,-101.75,270.0,top
IC1,120.0,-120.0,180.0,bottom
J1,101.475,-119.98,180.0,top
J2,130.5,-120.0,90.0,top
J3,130.5,-128.75,90.0,top
J4,130.5,-111.0,90.0,top
Q1,123.5,-120.75,180.0,top
Q2,123.5,-116.75,0.0,top
Q3,123.5,-129.0,180.0,top
Q4,123.5,-125.0,0.0,top
Q5,123.5,-137.25,180.0,top
Q6,123.5,-133.25,0.0,top
R1,118.75,-120.5,270.0,top
R10,118.75,-133.5,90.0,top
R11,120.5,-137.0,270.0,top
R12,120.5,-133.5,90.0,top
R13,111.25,-109.0,270.0,top
R14,123.5,-103.75,90.0,top
R15,104.75,-109.25,0.0,top
R16,104.75,-107.25,0.0,top
R17,107.25,-104.75,270.0,top
R18,109.25,-104.75,270.0,top
R19,104.75,-112.5,270.0,top
R2,120.5,-120.5,270.0,top
R3,120.455,-117.0,90.0,top
R4,118.75,-117.0,90.0,top
R5,118.75,-128.75,270.0,top
R6,118.75,-125.25,90.0,top
R7,120.5,-128.75,270.0,top
R8,120.5,-125.25,90.0,top
R9,118.75,-137.0,270.0,top
SW1,131.25,-103.5,270.0,top
SW2,126.5,-103.5,90.0,top
U1,115.0,-118.75,180.0,top
U2,115.0,-127.0,180.0,top
U3,115.0,-135.25,180.0,top
U4,117.5,-106.0,0.0,top
U5,129.25,-135.0,270.0,top
U7,125.75,-113.0,90.0,top
Y2,116.0,-112.5,0.0,top
