Designator,Mid X,Mid Y,Rotation,Layer
C1,115.775,-102.0,180.0,top
C10,107.0,-127.25,270.0,top
C11,104.0,-116.5,270.0,top
C12,108.0,-110.5,180.0,top
C13,108.0,-108.25,180.0,top
C14,108.0,-106.0,180.0,top
C15,108.0,-103.75,180.0,top
C16,108.0,-101.5,180.0,top
C17,126.5,-102.25,270.0,top
C18,129.5,-105.0,180.0,top
C19,128.75,-102.25,270.0,top
C2,115.75,-110.25,180.0,top
C20,101.5,-108.0,90.0,top
C21,103.75,-108.0,90.0,top
C22,110.75,-125.0,180.0,top
C23,114.25,-125.25,180.0,top
C24,109.5,-138.75,0.0,top
C26,117.75,-130.75,270.0,top
C3,115.775,-118.5,180.0,top
C4,123.5,-102.0,180.0,top
C5,123.5,-110.25,180.0,top
C6,123.5,-118.5,180.0,top
C7,121.25,-129.75,270.0,top
C8,127.25,-129.75,270.0,top
C9,116.0,-137.75,90.0,top
D1,126.5,-106.5,270.0,top
D10,132.5,-102.0,90.0,top
D11,126.5,-123.0,270.0,top
D12,118.75,-121.5,90.0,top
D13,102.0,-131.0,0.0,top
D2,118.75,-105.0,90.0,top
D3,126.5,-114.75,270.0,top
D4,124.25,-126.75,180.0,top
D5,118.75,-113.25,90.0,top
D6,120.5,-138.0,90.0,top
D7,122.0,-138.0,90.0,top
D8,123.5,-138.0,90.0,top
D9,125.0,-138.0,90.0,top
IC1,120.0,-120.0,0.0,bottom
J1,101.525,-120.02,0.0,top
J2,130.555,-120.0,90.0,top
J3,130.555,-110.25,90.0,top
J4,133.55,-129.0,270.0,top
Q1,123.5,-105.25,270.0,top
Q2,115.775,-105.25,270.0,top
Q3,123.5,-113.5,270.0,top
Q4,115.775,-113.5,270.0,top
Q5,123.5,-121.75,270.0,top
Q6,115.775,-121.75,270.0,top
R1,120.75,-102.5,270.0,top
R10,113.025,-119.0,270.0,top
R11,120.75,-122.25,270.0,top
R12,113.025,-122.25,270.0,top
R13,113.25,-138.75,0.0,top
R14,130.0,-131.75,0.0,top
R15,120.5,-134.75,90.0,top
R16,122.0,-134.75,90.0,top
R17,123.5,-134.75,90.0,top
R18,125.0,-134.75,90.0,top
R19,130.75,-102.0,270.0,top
R2,113.025,-102.5,270.0,top
R20,130.0,-130.0,180.0,top
R21,130.0,-128.25,180.0,top
R22,130.0,-126.5,0.0,top
R23,104.75,-110.75,180.0,top
R24,102.0,-132.75,180.0,top
R25,107.0,-137.75,270.0,top
R3,113.025,-105.75,270.0,top
R4,120.75,-105.75,270.0,top
R5,120.75,-110.75,270.0,top
R6,113.025,-110.75,270.0,top
R7,120.75,-114.0,270.0,top
R8,113.025,-114.0,270.0,top
R9,120.75,-119.0,270.0,top
SW1,127.75,-136.75,270.0,top
SW2,131.75,-136.75,90.0,top
U1,108.5,-120.0,0.0,top
U2,111.5,-132.5,90.0,top
U3,118.25,-127.25,180.0,top
U4,104.75,-113.25,270.0,top
U7,124.25,-130.0,90.0,top
Y2,118.25,-134.25,90.0,top
